Name,Est,Location,Nickname,Students,Wiki,Ranking,Id,Pic
University of California Los Angeles,1919,"Westwood, Los Angeles, California",Bruins,"45,428","https://en.wikipedia.org/wiki/University_of_California,_Los_Angeles",1,1,c1.png
University of California Berkeley,1868,"Berkeley, California",Golden Bears,"42,519","https://en.wikipedia.org/wiki/University_of_California,_Berkeley",2,2,c2.png
University of Virginia,1819,"Charlottesville, Virginia","Cavaliers, Wahoos","24,360",https://en.wikipedia.org/wiki/University_of_Virginia,3,3,c3.png
University of Michigan Ann Arbor,1817,"Ann Arbor, Michigan",Wolverines,"46,002",https://en.wikipedia.org/wiki/University_of_Michigan,4,4,c4.png
University of California Santa Barbara,1891,"Santa Barbara, California",Gauchos,"25,057","https://en.wikipedia.org/wiki/University_of_California,_Santa_Barbara",5,5,c5.png
University of North Carolina Chapel Hill,1789,"Chapel Hill, North Carolina",Tar Heels,"29,847",https://en.wikipedia.org/wiki/University_of_North_Carolina_at_Chapel_Hill,5,6,c6.png
University of California Irvine,1965,"Irvine, California",Anteaters,"35,220","https://en.wikipedia.org/wiki/University_of_California,_Irvine",7,7,c7.png
Georgia Institute of Technology,1885,"Atlanta, Georgia",Yellow Jackets,"29,370",https://en.wikipedia.org/wiki/Georgia_Institute_of_Technology,8,8,c8.png
University of Florida,1853,"Gainesville, Florida",Gators,"55,862",https://en.wikipedia.org/wiki/University_of_Florida,8,9,c9.png
College of William and Mary,1693,"Williamsburg, Virginia",Tribe,"8,484",https://en.wikipedia.org/wiki/College_of_William_%26_Mary,10,10,c10.png
University of California Davis,1905 (1959 as a general UC campus),"Unincorporated Yolo and Solano counties adjacent to Davis, California",Aggies,"39,152","https://en.wikipedia.org/wiki/University_of_California,_Davis",10,11,c11.png
University of California San Diego,"September 1903 (as Scripps Institute of Oceanography), November 18, 1960 (as University of California San Diego)","San Diego, California",Tritons,"38,798","https://en.wikipedia.org/wiki/University_of_California,_San_Diego",12,12,c12.png
University of Georgia,1785,"Athens, Georgia",Bulldogs & Lady Bulldogs,"38,246",https://en.wikipedia.org/wiki/University_of_Georgia,13,13,c13.png
University of Illinois Urbana Champaign,1867,"Urbana and Champaign, Illinois",Fighting Illini,"49,339",https://en.wikipedia.org/wiki/University_of_Illinois_at_Urbana%E2%80%93Champaign,13,14,c14.png
University of Texas Austin,1883,"Austin, Texas",Longhorns,"51,525",https://en.wikipedia.org/wiki/University_of_Texas_at_Austin,15,15,c15.png
University of Wisconsin Madison,1848,"Madison, Wisconsin",Badgers,"44,413",https://en.wikipedia.org/wiki/University_of_Wisconsin%E2%80%93Madison,15,16,c16.png
Ohio State University Columbus,1870,"Columbus, Ohio",Buckeyes,"61,170",https://en.wikipedia.org/wiki/Ohio_State_University,17,17,c17.png
Purdue University West Lafayette,1869,"West Lafayette, Indiana",Boilermakers,"43,411",https://en.wikipedia.org/wiki/Purdue_University,17,18,c18.png
Rutgers University New Brunswick,1766,"New Brunswick-Piscataway, New Jersey",Scarlet Knights,"40,720",https://en.wikipedia.org/wiki/Rutgers_University%E2%80%93New_Brunswick,17,19,c19.png
Pennsylvania State University University Park,1855,"State College, Pennsylvania",Lions,"41,359","https://en.wikipedia.org/wiki/University_Park,_Pennsylvania",20,20,c20.png
